"PPID","Gender","Race","RaceMarg","Intervention","RecitationC","CoursePointTotal","TookSpringClass"
"260","F","Latino","Marg","Control","F",194,0
"261","F","Black","Marg","Control","C",242,1
"263","M","Latino","Marg","Control","K",246,1
"264","F","Asian","NonMarg","VAffirm","G",266,1
"268","M","Multi","Marg","Control","B",179,1
"271","M","Latino","Marg","Control","I",217,1
"275","F","Oth","Marg","Control","E",232,1
"276","F","Multi","Marg","VAffirm","G",254,1
"278","F","White","NonMarg","VAffirm","G",220,1
"280","F","Asian","NonMarg","VAffirm","M",198,1
"281","F","Multi","NonMarg","Control","H",267,1
"283","F","White","NonMarg","Control","L",291.5,1
"284","F","White","NonMarg","VAffirm","O",170,1
"285","F","Asian","NonMarg","VAffirm","I",222,1
"286","F","Asian","NonMarg","VAffirm","K",216,1
"288","M","Asian","NonMarg","VAffirm","C",268,1
"289","F","Asian","NonMarg","Control","O",243,1
"290","F","Latino","Marg","Control","L",247,1
"291","M","Asian","NonMarg","VAffirm","C",271,1
"292","M","Black","Marg","Control","J",207.5,1
"294","F","Multi","NonMarg","Control","M",197,1
"299","M","Asian","NonMarg","Control","I",212,1
"300","F","White","NonMarg","Control","E",273,1
"301","M","Multi","Marg","VAffirm","G",99,0
"303","F","Latino","Marg","VAffirm","M",175,1
"307","F","Asian","NonMarg","Control","N",240,1
"308","F","Asian","NonMarg","Control","C",262,1
"309","M","Asian","NonMarg","Control","C",256,0
"310","F","Asian","NonMarg","Control","F",255,1
"311","F","Asian","NonMarg","VAffirm","K",237,1
"313","M","Latino","Marg","Control","P",226,0
"315","F","Latino","Marg","Control","P",195,0
"317","F","White","NonMarg","VAffirm","L",280,1
"318","M","Black","Marg","VAffirm","L",191.5,0
"320","F","Multi","Marg","VAffirm","K",205,1
"322","F","Multi","Marg","Control","L",93,0
"324","Oth","Asian","NonMarg","VAffirm","L",194,0
"327","F","White","NonMarg","Control","G",280,1
"329","F",NA,"NonMarg","Control","A",230,0
